time,open,high,low,close,tick_volume,spread,real_volume
2026-04-30 16:52:00,4613.39,4615.25,4611.65,4612.22,667,130,0
2026-04-30 16:53:00,4612.15,4614.41,4612.07,4612.34,663,130,0
2026-04-30 16:54:00,4612.38,4614.0,4611.65,4613.92,688,130,0
2026-04-30 16:55:00,4613.89,4614.48,4611.68,4611.97,620,130,0
2026-04-30 16:56:00,4612.0,4613.19,4611.17,4612.65,605,130,0
2026-04-30 16:57:00,4612.65,4613.19,4610.65,4611.39,628,130,0
2026-04-30 16:58:00,4611.48,4613.77,4610.84,4613.36,614,130,0
2026-04-30 16:59:00,4613.14,4614.3,4610.76,4611.0,598,130,0
2026-04-30 17:00:00,4611.05,4614.88,4609.48,4614.61,683,130,0
2026-04-30 17:01:00,4614.62,4617.41,4614.22,4617.09,672,130,0
2026-04-30 17:02:00,4617.08,4622.01,4616.99,4620.52,670,130,0
2026-04-30 17:03:00,4620.57,4625.0,4619.87,4624.3,651,130,0
2026-04-30 17:04:00,4624.05,4624.45,4619.62,4620.42,687,130,0
2026-04-30 17:05:00,4620.42,4623.22,4620.24,4622.24,686,130,0
2026-04-30 17:06:00,4622.21,4625.71,4621.34,4621.74,679,130,0
2026-04-30 17:07:00,4621.59,4623.95,4620.73,4623.04,675,130,0
2026-04-30 17:08:00,4623.03,4623.68,4617.73,4617.82,649,130,0
2026-04-30 17:09:00,4617.83,4621.26,4617.35,4621.0,657,130,0
2026-04-30 17:10:00,4620.96,4621.08,4616.23,4617.26,691,130,0
2026-04-30 17:11:00,4617.33,4618.59,4616.43,4617.51,648,130,0
2026-04-30 17:12:00,4617.51,4620.4,4617.26,4617.66,637,130,0
2026-04-30 17:13:00,4617.67,4622.42,4617.52,4619.76,658,130,0
2026-04-30 17:14:00,4619.81,4621.54,4619.36,4620.47,652,130,0
2026-04-30 17:15:00,4620.46,4623.23,4619.01,4622.09,673,130,0
2026-04-30 17:16:00,4622.09,4622.12,4616.23,4617.27,707,130,0
2026-04-30 17:17:00,4617.29,4619.97,4616.86,4618.51,697,130,0
2026-04-30 17:18:00,4618.5,4623.71,4618.3,4623.46,640,130,0
2026-04-30 17:19:00,4623.49,4624.64,4621.54,4622.14,677,130,0
2026-04-30 17:20:00,4622.1,4623.44,4620.8,4621.32,666,130,0
2026-04-30 17:21:00,4621.31,4622.6,4620.05,4620.61,693,130,0
2026-04-30 17:22:00,4620.62,4624.93,4619.49,4623.64,690,130,0
2026-04-30 17:23:00,4623.68,4625.98,4622.71,4623.43,666,130,0
2026-04-30 17:24:00,4623.43,4624.7,4621.73,4623.74,687,130,0
2026-04-30 17:25:00,4623.77,4623.79,4621.38,4622.11,681,130,0
2026-04-30 17:26:00,4622.15,4622.57,4618.94,4620.56,650,130,0
2026-04-30 17:27:00,4620.46,4622.54,4620.41,4621.92,675,130,0
2026-04-30 17:28:00,4621.97,4624.28,4621.53,4623.2,670,130,0
2026-04-30 17:29:00,4623.2,4624.09,4622.61,4622.93,648,130,0
2026-04-30 17:30:00,4623.01,4623.01,4618.73,4618.79,666,130,0
2026-04-30 17:31:00,4618.85,4621.47,4618.67,4619.79,659,130,0
2026-04-30 17:32:00,4619.94,4620.6,4615.64,4616.6,639,130,0
2026-04-30 17:33:00,4616.65,4618.11,4613.71,4615.15,680,130,0
2026-04-30 17:34:00,4615.09,4617.28,4613.23,4617.28,662,130,0
2026-04-30 17:35:00,4617.29,4617.31,4614.83,4615.52,613,130,0
2026-04-30 17:36:00,4615.5,4615.5,4611.37,4612.75,679,130,0
2026-04-30 17:37:00,4612.74,4613.27,4610.92,4612.97,714,130,0
2026-04-30 17:38:00,4612.83,4614.47,4612.41,4612.64,689,130,0
2026-04-30 17:39:00,4612.62,4612.98,4611.26,4612.43,648,130,0
2026-04-30 17:40:00,4612.42,4615.99,4612.42,4615.6,751,130,0
2026-04-30 17:41:00,4615.61,4618.12,4613.93,4617.58,699,130,0
2026-04-30 17:42:00,4617.58,4618.47,4616.67,4617.34,660,130,0
2026-04-30 17:43:00,4617.37,4620.57,4617.36,4618.59,640,130,0
2026-04-30 17:44:00,4618.59,4619.08,4617.42,4617.78,627,130,0
